city,district,region
Андреківське,Путильський,Чернівецька
Великий Липовець,Путильський,Чернівецька
Верхній Яловець,Путильський,Чернівецька
Випчина,Путильський,Чернівецька
Галицівка,Путильський,Чернівецька
Замогила,Путильський,Чернівецька
Киселиці,Путильський,Чернівецька
Лустун,Путильський,Чернівецька
Мариничі,Путильський,Чернівецька
Міжброди,Путильський,Чернівецька
Околена,Путильський,Чернівецька
Петраші,Путильський,Чернівецька
Плай,Путильський,Чернівецька
Плита,Путильський,Чернівецька
Площі,Путильський,Чернівецька
Підзахаричі,Путильський,Чернівецька
Поляківське,Путильський,Чернівецька
Розтоки,Путильський,Чернівецька
Рижа,Путильський,Чернівецька
Рипень,Путильський,Чернівецька
Самакова,Путильський,Чернівецька
Селятин,Путильський,Чернівецька
Сергії,Путильський,Чернівецька
Соколій,Путильський,Чернівецька
Тесницька,Путильський,Чернівецька
Фошки,Путильський,Чернівецька
Хорови,Путильський,Чернівецька
Шпетки,Путильський,Чернівецька
Ями,Путильський,Чернівецька
Голошина,Путильський,Чернівецька
Паркулина,Путильський,Чернівецька
Стебні,Верховинський,Івано-Франківська
Вовчинець,Вижницький,Чернівецька
Товарниця,Путильський,Чернівецька
Малий Дихтинець,Путильський,Чернівецька
Руська,Путильський,Чернівецька
Гробище,Путильський,Чернівецька
Конятин,Путильський,Чернівецька
Довгопілля,Путильський,Чернівецька
Майдан,Вижницький,Чернівецька
Майдан,Вижницький,Чернівецька
Греблина,Путильський,Чернівецька
Греблина,Путильський,Чернівецька
Бісків,Путильський,Чернівецька
Бісків,Путильський,Чернівецька
Усть-путила,Путильський,Чернівецька
Говерла,Рахівський,Закарпатська
Луги,Рахівський,Закарпатська
Лазещина,Рахівський,Закарпатська
Новоселиця,Новоселицький,Чернівецька
Герца,Герцаївський,Чернівецька
Сторожинець,Сторожинецький,Чернівецька
Глибока,Глибоцький,Чернівецька
Красноїльськ,Сторожинецький,Чернівецька
Бояни,Новоселицький,Чернівецька
Котелеве,Новоселицький,Чернівецька
Кошуляни,Новоселицький,Чернівецька
Новоіванківці,Новоселицький,Чернівецька
Ревківці,Новоселицький,Чернівецька
Слобода,Новоселицький,Чернівецька
Строїнці,Новоселицький,Чернівецька
Бобівці,Сторожинецький,Чернівецька
Буденець,Сторожинецький,Чернівецька
Дібрівка,Сторожинецький,Чернівецька
Кам'яна,Сторожинецький,Чернівецька
Панка,Сторожинецький,Чернівецька
Комарівці,Сторожинецький,Чернівецька
Костинці,Сторожинецький,Чернівецька
Михальча,Сторожинецький,Чернівецька
Нова Красношора,Сторожинецький,Чернівецька
Слобода-комарівці,Сторожинецький,Чернівецька
Стара Красношора,Сторожинецький,Чернівецька
Череш,Сторожинецький,Чернівецька
Ясени,Сторожинецький,Чернівецька
Багринівка,Глибоцький,Чернівецька
Черепківці,Глибоцький,Чернівецька
Валя Кузьмина,Глибоцький,Чернівецька
Верхні Синівці,Глибоцький,Чернівецька
Димка,Глибоцький,Чернівецька
Коровія,Глибоцький,Чернівецька
Корчівці,Глибоцький,Чернівецька
Купка,Глибоцький,Чернівецька
Михайлівка,Глибоцький,Чернівецька
Нижні Синівці,Глибоцький,Чернівецька
Привороки,Глибоцький,Чернівецька
Станівці,Глибоцький,Чернівецька
Чагор,Глибоцький,Чернівецька
Червона Діброва,Глибоцький,Чернівецька
Горбова,Герцаївський,Чернівецька
Дяківці,Герцаївський,Чернівецька
Куликівка,Герцаївський,Чернівецька
Петрашівка,Герцаївський,Чернівецька
Тернавка,Герцаївський,Чернівецька
Цурень,Герцаївський,Чернівецька
Мала Буда,Герцаївський,Чернівецька
Хряцька,Герцаївський,Чернівецька
Турятка,Глибоцький,Чернівецька
Тарашани,Глибоцький,Чернівецька
Молниця,Герцаївський,Чернівецька
Драниця,Новоселицький,Чернівецька
Костичани,Новоселицький,Чернівецька
Молодія,Глибоцький,Чернівецька
Ропча,Сторожинецький,Чернівецька
Остриця,Новоселицький,Чернівецька
Тарасівці,Новоселицький,Чернівецька
Ванчиківці,Новоселицький,Чернівецька
Думени,Новоселицький,Чернівецька
Мамалига,Новоселицький,Чернівецька
Нові Бросківці,Сторожинецький,Чернівецька
Волока,Глибоцький,Чернівецька
Зруб-комарівський,Сторожинецький,Чернівецька
Боянівка,Новоселицький,Чернівецька
Ванчинець,Новоселицький,Чернівецька
Зелений Гай,Новоселицький,Чернівецька
Маршинці,Новоселицький,Чернівецька
Негринці,Новоселицький,Чернівецька
Припруття,Новоселицький,Чернівецька
Брусенки,Кіцманський,Чернівецька
Верхні Петрівці,Сторожинецький,Чернівецька
Годилів,Сторожинецький,Чернівецька
Нова Жадова,Сторожинецький,Чернівецька
Снячів,Сторожинецький,Чернівецька
Біла Криниця,Глибоцький,Чернівецька
Горбівці,Глибоцький,Чернівецька
Грушівка,Глибоцький,Чернівецька
Карапчів,Глибоцький,Чернівецька
Кут,Глибоцький,Чернівецька
Новий Вовчинець,Глибоцький,Чернівецька
Петричанка,Глибоцький,Чернівецька
Поляна,Глибоцький,Чернівецька
Просіка,Глибоцький,Чернівецька
Просокиряни,Глибоцький,Чернівецька
Слобідка,Глибоцький,Чернівецька
Старий Вовчинець,Глибоцький,Чернівецька
Стерче,Глибоцький,Чернівецька
Байраки,Герцаївський,Чернівецька
Банчени,Герцаївський,Чернівецька
Буківка,Герцаївський,Чернівецька
Велика Буда,Герцаївський,Чернівецька
Великосілля,Герцаївський,Чернівецька
Круп'янське,Герцаївський,Чернівецька
Лунка,Герцаївський,Чернівецька
Маморниця,Герцаївський,Чернівецька
Радгоспівка,Герцаївський,Чернівецька
Могилівка,Герцаївський,Чернівецька
Підвальне,Герцаївський,Чернівецька
Заволока,Сторожинецький,Чернівецька
Старі Бросківці,Сторожинецький,Чернівецька
Заболоття,Сторожинецький,Чернівецька
Луковиця,Глибоцький,Чернівецька
Годинівка,Герцаївський,Чернівецька
Нижні Петрівці,Сторожинецький,Чернівецька
Кам'янка,Глибоцький,Чернівецька
Давидівка,Сторожинецький,Чернівецька
Дубове,Сторожинецький,Чернівецька
Великий Кучурів,Сторожинецький,Чернівецька
Тисовець,Сторожинецький,Чернівецька
Глибочок,Сторожинецький,Чернівецька
Їжівці,Сторожинецький,Чернівецька
Рені,Ренійський,Одеська
Ізмаїл,м. Ізмаїл,Одеська
Болград,Болградський,Одеська
Орлівка,Ренійський,Одеська
Новосільське,Ренійський,Одеська
Табаки,Болградський,Одеська
Виноградівка,Болградський,Одеська
Жовтневе,Болградський,Одеська
Владичень,Болградський,Одеська
Котловина,Ренійський,Одеська
Криничне,Болградський,Одеська
Каланчак,Ізмаїльський,Одеська
Василівка,Болградський,Одеська
Кам'янка,Ізмаїльський,Одеська
Саф'яни,Ізмаїльський,Одеська
Озерне,Ізмаїльський,Одеська
Нова Некрасівка,Ізмаїльський,Одеська
Ларжанка,Ізмаїльський,Одеська
Матроська,Ізмаїльський,Одеська
Броска,Ізмаїльський,Одеська
Плавні,Ренійський,Одеська
Долинське,Ренійський,Одеська
Коса,Болградський,Одеська
Лиманське,Ренійський,Одеська
Нагірне,Ренійський,Одеська
Новокаланчак,Ізмаїльський,Одеська
Нове Жовтневе,Болградський,Одеська
Тополине,Болградський,Одеська
Оксамитне,Болградський,Одеська
Лощинівка,Ізмаїльський,Одеська
Нові Трояни,Болградський,Одеська
Городнє,Болградський,Одеська
Оріхівка,Болградський,Одеська
Червоноармійське,Болградський,Одеська
Калчева,Болградський,Одеська
Залізничне,Болградський,Одеська
Суворове,Ізмаїльський,Одеська
Кілія,Кілійський,Одеська
Вилкове,Кілійський,Одеська
Стара Некрасівка,Ізмаїльський,Одеська
Баннівка,Болградський,Одеська
Багате,Ізмаїльський,Одеська
Утконосівка,Ізмаїльський,Одеська
Новокам'янка,Ізмаїльський,Одеська
Глибоке,Татарбунарський,Одеська
Кирнички,Ізмаїльський,Одеська
Приморське,Татарбунарський,Одеська
Лиман,Татарбунарський,Одеська
Нерушай,Татарбунарський,Одеська
Старі Трояни,Кілійський,Одеська
Нова Покровка,Ізмаїльський,Одеська
Приозерне,Кілійський,Одеська
Фурманівка,Кілійський,Одеська
Дмитрівка,Кілійський,Одеська
Десантне,Кілійський,Одеська
Шевченкове,Кілійський,Одеська
Червоний Яр,Кілійський,Одеська
Муравлівка,Ізмаїльський,Одеська
Комишівка,Ізмаїльський,Одеська
Василівка,Кілійський,Одеська
Приморське,Кілійський,Одеська
Новоселівка,Кілійський,Одеська
Першотравневе,Ізмаїльський,Одеська
Трудове,Кілійський,Одеська
Струмок,Татарбунарський,Одеська
Кислиця,Ізмаїльський,Одеська
Помазани,Кілійський,Одеська
Миколаївка,Кілійський,Одеська
Новомиколаївка,Кілійський,Одеська
Мирне,Кілійський,Одеська
Ліски,Кілійський,Одеська
Дзинілор,Кілійський,Одеська
Татарбунари,Татарбунарський,Одеська
Тарутине,Тарутинський,Одеська
Березине,Тарутинський,Одеська
Сарата,Саратський,Одеська
Арциз,Арцизький,Одеська
Олександрівка,Болградський,Одеська
Виноградне,Болградський,Одеська
Голиця,Болградський,Одеська
Дмитрівка,Болградський,Одеська
Малоярославець Перший,Тарутинський,Одеська
Вільне,Тарутинський,Одеська
Новоселівка,Арцизький,Одеська
Павлівка,Арцизький,Одеська
Новоселівка,Саратський,Одеська
Зоря,Саратський,Одеська
Михайлівка,Саратський,Одеська
Сергіївка,Саратський,Одеська
Дивізія,Татарбунарський,Одеська
Зелена Балка,Арцизький,Одеська
Делень,Арцизький,Одеська
Нова Іванівка,Арцизький,Одеська
Плоцьк,Арцизький,Одеська
Зарічне,Татарбунарський,Одеська
Дмитрівка,Татарбунарський,Одеська
Виноградівка,Арцизький,Одеська
Главані,Арцизький,Одеська
Задунаївка,Арцизький,Одеська
Борисівка,Татарбунарський,Одеська
Рибальське,Татарбунарський,Одеська
Трихатки,Татарбунарський,Одеська
Баштанівка,Татарбунарський,Одеська
Спаське,Татарбунарський,Одеська
Острівне,Арцизький,Одеська
Безім'янка,Татарбунарський,Одеська
Весела Балка,Татарбунарський,Одеська
Рівне,Тарутинський,Одеська
Ярове,Тарутинський,Одеська
Виноградівка,Тарутинський,Одеська
Лужанка,Тарутинський,Одеська
Садове,Арцизький,Одеська
Красне,Тарутинський,Одеська
Веселий Кут,Арцизький,Одеська
Мирнопілля,Арцизький,Одеська
Вишняки,Арцизький,Одеська
Роща,Арцизький,Одеська
Новомирне,Арцизький,Одеська
Вознесенка Перша,Арцизький,Одеська
Роза,Тарутинський,Одеська
Єлизаветівка,Тарутинський,Одеська
Перемога,Тарутинський,Одеська
Нові Каплани,Арцизький,Одеська
Введенка,Саратський,Одеська
Весела Долина,Тарутинський,Одеська
Світлодолинське,Саратський,Одеська
Мирнопілля,Саратський,Одеська
Молдове,Саратський,Одеська
Надежда,Саратський,Одеська
Ярославка,Саратський,Одеська
Романівка,Білгород-дністровський,Одеська
Миколаївка-новоросійська,Саратський,Одеська
Успенівка,Саратський,Одеська
Карналіївка,Білгород-дністровський,Одеська
Трапівка,Татарбунарський,Одеська
Жовтий Яр,Татарбунарський,Одеська
Малоярославець Другий,Тарутинський,Одеська
Кочкувате,Татарбунарський,Одеська
Вишневе,Татарбунарський,Одеська
Холмське,Арцизький,Одеська
Кам'янське,Арцизький,Одеська
Прямобалка,Арцизький,Одеська
Плахтіївка,Саратський,Одеська
Крива Балка,Саратський,Одеська
Теплиця,Арцизький,Одеська
Долинівка,Арцизький,Одеська
Лиман,Татарбунарський,Одеська
Нове,Татарбунарський,Одеська
Нова Олексіївка,Татарбунарський,Одеська
Маразліївка,Татарбунарський,Одеська
Роздольне,Татарбунарський,Одеська
Царичанка,Татарбунарський,Одеська
Ройлянка,Татарбунарський,Одеська
Новоселиця,Татарбунарський,Одеська
Новохолмське,Арцизький,Одеська
Надеждівка,Арцизький,Одеська
Василівка,Арцизький,Одеська
Нова Плахтіївка,Саратський,Одеська
Нова Іванівка,Саратський,Одеська
Кам'янка,Саратський,Одеська
Негрове,Саратський,Одеська
Костянтинівка,Саратський,Одеська
Великорибальське,Саратський,Одеська
Комишівка Перша,Саратський,Одеська
Над'ярне,Саратський,Одеська
Білолісся,Татарбунарський,Одеська
Розівка,Саратський,Одеська
Пасічне,Саратський,Одеська
Балабанка,Татарбунарський,Одеська
Долинка,Саратський,Одеська
Білгород-дністровський,м. Білгород-Дністровський,Одеська
Сергіївка,м. Білгород-Дністровський,Одеська
Затока,м. Білгород-Дністровський,Одеська
Широке,Білгород-дністровський,Одеська
Благодатне,Білгород-дністровський,Одеська
Вільне,Білгород-дністровський,Одеська
Косівка,Білгород-дністровський,Одеська
Попаздра,Білгород-дністровський,Одеська
Миколаївка,Білгород-дністровський,Одеська
Базар'янка,Татарбунарський,Одеська
Тузли,Татарбунарський,Одеська
Веселе,Татарбунарський,Одеська
Новомихайлівка,Татарбунарський,Одеська
Гончарівка,Білгород-дністровський,Одеська
Андріївка,Білгород-дністровський,Одеська
Молога,Білгород-дністровський,Одеська
Випасне,Білгород-дністровський,Одеська
Бритівка,Білгород-дністровський,Одеська
Дальник,Овідіопольський,Одеська
Бикоза,Білгород-дністровський,Одеська
Розкішне,Білгород-дністровський,Одеська
Монаші,Білгород-дністровський,Одеська
Вигон,Білгород-дністровський,Одеська
Олексіївка,Білгород-дністровський,Одеська
Маразліївка,Білгород-дністровський,Одеська
Польове,Білгород-дністровський,Одеська
Полянка,Білгород-дністровський,Одеська
Черкеси,Білгород-дністровський,Одеська
Привітне,Білгород-дністровський,Одеська
Софіївка,Білгород-дністровський,Одеська
Авидівка,Білгород-дністровський,Одеська
Великомар'янівка,Білгород-дністровський,Одеська
Адамівка,Білгород-дністровський,Одеська
Санжійка,Овідіопольський,Одеська
Роксолани,Овідіопольський,Одеська
Шабо,Білгород-дністровський,Одеська
Садове,Білгород-дністровський,Одеська
Курортне,Білгород-дністровський,Одеська
Приморське,Білгород-дністровський,Одеська
Лебедівка,Татарбунарський,Одеська
Сухолужжя,Білгород-дністровський,Одеська
Нове,Білгород-дністровський,Одеська
Грибівка,Овідіопольський,Одеська
