region,district,City,latitude,longitude
Івано-Франківська,Верховинський,Перехресне,24.92403,48.09917
Івано-Франківська,Верховинський,Полянки,24.95493,48.06587
Івано-Франківська,Верховинський,Сеньківське,24.85743,48.03823
Івано-Франківська,Верховинський,Стаїще,24.73332,48.18621
Івано-Франківська,Верховинський,Стовпні,24.82189,47.98777
Івано-Франківська,Верховинський,Топільче,24.73761,48.08647
Івано-Франківська,Верховинський,Хороцеве,25.01741,48.13265
Івано-Франківська,Верховинський,Черетів,24.97433,48.21127
Івано-Франківська,Верховинський,Явірник,24.74224,48.02347
Івано-Франківська,Косівський,Снідавка,24.86343,48.24062
Івано-Франківська,Верховинський,Голови,24.87906,48.06209
Чернівецька,Путильський,Голошина,24.88609,47.88751
Івано-Франківська,Верховинський,Грамотне,24.84524,47.95584
Івано-Франківська,Верховинський,Замагора,24.82138,48.10175
Івано-Франківська,Верховинський,Красноїлля,24.9048,48.1081
Івано-Франківська,Верховинський,Пробійнівка,24.8255,47.97352
Івано-Франківська,Верховинський,Яблуниця,24.91287,48.01351
Івано-Франківська,Верховинський,Зелене,24.75597,48.05094
Чернівецька,Путильський,Розтоки,25.13105,48.18346
Івано-Франківська,Косівський,Тюдів,25.13037,48.23942
Івано-Франківська,Косівський,Старі Кути,25.16075,48.27907
Івано-Франківська,Верховинський,Бистрець,24.69229,48.12303
Івано-Франківська,Верховинський,Устеріки,24.99012,48.12733
Івано-Франківська,Верховинський,Чорна Річка,24.86876,48.08596
Івано-Франківська,Верховинський,Білоберізка,25.04694,48.16561
Івано-Франківська,Верховинський,Ільці,24.75992,48.15307
Івано-Франківська,Косівський,Яворів,25.02085,48.22071
Івано-Франківська,Косівський,Шепіт,24.85657,48.26517
Івано-Франківська,Верховинський,Буркут,24.69503,47.94296
Івано-Франківська,Верховинський,Верхній Ясенів,24.94532,48.16131
Івано-Франківська,Верховинський,Волова,24.69933,48.24097
Івано-Франківська,Верховинський,Гринява,24.8703,47.98159
Івано-Франківська,Верховинський,Кривопілля,24.69606,48.19462
Івано-Франківська,Верховинський,Бережниця,24.83511,48.20354
Івано-Франківська,Верховинський,Черемошна,24.93004,48.0427
Івано-Франківська,Верховинський,Красник,24.73623,48.14449
Івано-Франківська,Косівський,Великий Рожин,25.03664,48.2135
Івано-Франківська,Верховинський,Вигода,24.96952,48.13145
Чернівецька,Вижницький,Липовани,25.45258,48.22809
Чернівецька,Вижницький,Лопушина,25.28624,48.08716
Чернівецька,Вижницький,Луківці,25.42477,48.19719
Чернівецька,Вижницький,Чорногузи,25.2277,48.27049
Чернівецька,Вижницький,Фальків,25.42305,47.95858
Чернівецька,Путильський,Дихтинець,25.04522,48.06072
Чернівецька,Путильський,Нижній Яловець,24.99767,47.85524
Чернівецька,Путильський,Плоска,25.14204,47.91241
Чернівецька,Путильський,Тораки,25.07114,48.02021
Чернівецька,Путильський,Шепіт,25.14187,47.80477
Івано-Франківська,Верховинський,Яблуниця,24.92008,48.02776
Чернівецька,Вижницький,Черешенька,25.28143,48.21882
Чернівецька,Вижницький,Багна,25.23096,48.22431
Чернівецька,Сторожинецький,Банилів-підгірний,25.49292,48.09385
Чернівецька,Вижницький,Вахнівці,25.47987,48.25727
Чернівецька,Вижницький,Велике,25.41395,48.15822
Чернівецька,Вижницький,Виженка,25.18513,48.2123
Чернівецька,Вижницький,Долішній Шепіт,25.28795,48.01248
Чернівецька,Вижницький,Заріччя,25.32486,48.1584
Чернівецька,Вижницький,Лекечі,25.28795,48.11891
Чернівецька,Вижницький,Мигове,25.38082,48.14964
Чернівецька,Вижницький,Середній Майдан,25.37396,48.26105
Чернівецька,Сторожинецький,Косованка,25.49669,48.2365
Чернівецька,Сторожинецький,Стара Жадова,25.49463,48.19805
Чернівецька,Путильський,Андреківське,25.11629,47.80254
Чернівецька,Путильський,Великий Липовець,24.99149,48.05351
Чернівецька,Путильський,Верхній Яловець,25.07303,47.82417
Чернівецька,Путильський,Випчина,25.03458,47.90176
Чернівецька,Путильський,Галицівка,25.25311,47.90708
Чернівецька,Путильський,Замогила,25.08694,48.04544
Чернівецька,Путильський,Киселиці,25.05449,48.03463
Чернівецька,Путильський,Лустун,25.18736,47.91893
Чернівецька,Путильський,Мариничі,25.04076,48.12269
Чернівецька,Путильський,Міжброди,25.11852,48.22689
Чернівецька,Путильський,Околена,25.09449,48.15925
Чернівецька,Путильський,Петраші,25.09895,48.13402
Чернівецька,Путильський,Плай,24.92455,47.98519
Чернівецька,Путильський,Плита,24.97879,48.03291
Чернівецька,Путильський,Площі,25.06497,48.05025
Чернівецька,Путильський,Підзахаричі,25.12608,48.20835
Чернівецька,Путильський,Поляківське,25.08745,48.01969
Чернівецька,Путильський,Розтоки,25.14118,48.16749
Чернівецька,Путильський,Рижа,25.05982,47.96579
Чернівецька,Путильський,Рипень,25.08041,47.94279
Чернівецька,Путильський,Самакова,24.97776,48.00648
Чернівецька,Путильський,Селятин,25.1865,47.87344
Чернівецька,Путильський,Сергії,25.14856,47.98553
Чернівецька,Путильський,Соколій,25.06016,48.02639
Чернівецька,Путильський,Тесницька,25.16796,47.98021
Чернівецька,Путильський,Фошки,25.19011,47.96682
Чернівецька,Путильський,Хорови,25.14479,48.18054
Чернівецька,Путильський,Шпетки,25.01501,48.10449
Чернівецька,Путильський,Ями,25.12814,48.16097
Чернівецька,Путильський,Голошина,24.94515,47.93112
Чернівецька,Путильський,Паркулина,25.12608,47.98794
Івано-Франківська,Верховинський,Стебні,25.02239,48.0796
Чернівецька,Вижницький,Вовчинець,25.44468,48.16681
Чернівецька,Путильський,Товарниця,25.175,48.13024
Чернівецька,Путильський,Малий Дихтинець,25.02359,48.04802
Чернівецька,Путильський,Руська,25.26152,47.91155
Чернівецька,Путильський,Гробище,25.0569,47.99532
Чернівецька,Путильський,Конятин,24.93862,48.0427
Чернівецька,Путильський,Довгопілля,24.97364,48.07016
Чернівецька,Вижницький,Майдан,25.43644,48.26259
Чернівецька,Вижницький,Майдан,25.31885,48.26002
Чернівецька,Путильський,Греблина,25.02497,48.06089
Чернівецька,Путильський,Греблина,24.99544,48.08304
Чернівецька,Путильський,Бісків,25.17019,48.09214
Чернівецька,Путильський,Бісків,25.08127,48.08681
Чернівецька,Путильський,Усть-путила,25.1635,48.05797
Закарпатська,Рахівський,Говерла,24.45059,48.07789
Закарпатська,Рахівський,Луги,24.4384,48.06415
Закарпатська,Рахівський,Лазещина,24.41488,48.27392
Чернівецька,Новоселицький,Новоселиця,26.27415,48.21865
Чернівецька,Герцаївський,Герца,26.26196,48.1493
Чернівецька,Сторожинецький,Сторожинець,25.72243,48.16114
Чернівецька,Глибоцький,Глибока,25.92894,48.08578
Чернівецька,Сторожинецький,Красноїльськ,25.60175,48.01866
Чернівецька,Новоселицький,Бояни,26.12463,48.27066
Чернівецька,Новоселицький,Котелеве,26.35637,48.28354
Чернівецька,Новоселицький,Кошуляни,26.56254,48.24921
Чернівецька,Новоселицький,Новоіванківці,26.48272,48.22431
Чернівецька,Новоселицький,Ревківці,26.20857,48.28113
Чернівецька,Новоселицький,Слобода,26.20085,48.27616
Чернівецька,Новоселицький,Строїнці,26.25355,48.24371
Чернівецька,Сторожинецький,Бобівці,25.68775,48.2638
Чернівецька,Сторожинецький,Буденець,25.65222,48.0851
Чернівецька,Сторожинецький,Дібрівка,25.54991,48.24886
Чернівецька,Сторожинецький,Кам'яна,25.85564,48.22328
Чернівецька,Сторожинецький,Панка,25.64793,48.1735
Чернівецька,Сторожинецький,Комарівці,25.58493,48.1953
Чернівецька,Сторожинецький,Костинці,25.64467,48.27976
Чернівецька,Сторожинецький,Михальча,25.851,48.25144
Чернівецька,Сторожинецький,Нова Красношора,25.54596,48.06553
Чернівецька,Сторожинецький,Слобода-комарівці,25.63179,48.22397
Чернівецька,Сторожинецький,Стара Красношора,25.52897,48.03823
Чернівецька,Сторожинецький,Череш,25.61068,48.09763
Чернівецька,Сторожинецький,Ясени,25.66372,48.27478
Чернівецька,Глибоцький,Багринівка,25.94336,47.98347
Чернівецька,Глибоцький,Черепківці,25.96481,48.02193
Чернівецька,Глибоцький,Валя Кузьмина,26.01837,48.1838
Чернівецька,Глибоцький,Верхні Синівці,26.11382,48.01489
Чернівецька,Глибоцький,Димка,25.96584,48.09265
Чернівецька,Глибоцький,Коровія,25.97082,48.2262
Чернівецька,Глибоцький,Корчівці,25.79264,48.01283
Чернівецька,Глибоцький,Купка,25.78199,48.0439
Чернівецька,Глибоцький,Михайлівка,25.97408,48.11582
Чернівецька,Глибоцький,Нижні Синівці,26.12944,48.00682
Чернівецька,Глибоцький,Привороки,26.02816,48.10123
Чернівецька,Глибоцький,Станівці,26.06558,48.07291
Чернівецька,Глибоцький,Чагор,25.98713,48.24097
Чернівецька,Глибоцький,Червона Діброва,25.9298,48.13831
Чернівецька,Герцаївський,Горбова,26.17167,48.21024
Чернівецька,Герцаївський,Дяківці,26.24256,48.10261
Чернівецька,Герцаївський,Куликівка,26.1672,48.09471
Чернівецька,Герцаївський,Петрашівка,26.10884,48.09797
Чернівецька,Герцаївський,Тернавка,26.20686,48.11376
Чернівецька,Герцаївський,Цурень,26.10094,48.2365
Чернівецька,Герцаївський,Мала Буда,26.11227,48.16286
Чернівецька,Герцаївський,Хряцька,26.18712,48.15668
Чернівецька,Глибоцький,Турятка,26.14403,48.04802
Чернівецька,Глибоцький,Тарашани,26.01357,48.1184
Чернівецька,Герцаївський,Молниця,26.2254,48.19427
Чернівецька,Новоселицький,Драниця,26.53078,48.23015
Чернівецька,Новоселицький,Костичани,26.50932,48.22758
Чернівецька,Глибоцький,Молодія,26.02387,48.2274
Чернівецька,Сторожинецький,Ропча,25.76655,48.11754
Чернівецька,Новоселицький,Остриця,26.05339,48.25727
Чернівецька,Новоселицький,Тарасівці,26.36719,48.20269
Чернівецька,Новоселицький,Ванчиківці,26.44787,48.21539
Чернівецька,Новоселицький,Думени,26.49765,48.2214
Чернівецька,Новоселицький,Мамалига,26.58743,48.25556
Чернівецька,Сторожинецький,Нові Бросківці,25.69737,48.23891
Чернівецька,Глибоцький,Волока,25.94301,48.19462
Чернівецька,Сторожинецький,Зруб-комарівський,25.57308,48.1644
Чернівецька,Новоселицький,Боянівка,26.16514,48.24715
Чернівецька,Новоселицький,Ванчинець,26.41199,48.21213
Чернівецька,Новоселицький,Зелений Гай,26.21389,48.22723
Чернівецька,Новоселицький,Маршинці,26.30299,48.21178
Чернівецька,Новоселицький,Негринці,26.5519,48.23444
Чернівецька,Новоселицький,Припруття,26.15948,48.25573
Чернівецька,Кіцманський,Брусенки,25.53789,48.26105
Чернівецька,Сторожинецький,Верхні Петрівці,25.69599,48.07033
Чернівецька,Сторожинецький,Годилів,25.92928,48.2456
Чернівецька,Сторожинецький,Нова Жадова,25.53394,48.22912
Чернівецька,Сторожинецький,Снячів,25.84122,48.18878
Чернівецька,Глибоцький,Біла Криниця,25.88345,47.97695
Чернівецька,Глибоцький,Горбівці,26.09699,47.99497
Чернівецька,Глибоцький,Грушівка,25.97717,48.18878
Чернівецька,Глибоцький,Карапчів,25.85461,48.09523
Чернівецька,Глибоцький,Кут,26.0364,48.19942
Чернівецька,Глибоцький,Новий Вовчинець,25.99863,47.99291
Чернівецька,Глибоцький,Петричанка,25.89375,48.05025
Чернівецька,Глибоцький,Поляна,26.11382,48.04836
Чернівецька,Глибоцький,Просіка,25.81822,48.07068
Чернівецька,Глибоцький,Просокиряни,25.87812,48.08887
Чернівецька,Глибоцький,Слобідка,25.98747,48.0463
Чернівецька,Глибоцький,Старий Вовчинець,25.94301,48.00064
Чернівецька,Глибоцький,Стерче,26.03211,48.03154
Чернівецька,Герцаївський,Байраки,26.11107,48.11617
Чернівецька,Герцаївський,Банчени,26.1993,48.20286
Чернівецька,Герцаївський,Буківка,26.0927,48.05179
Чернівецька,Герцаївський,Велика Буда,26.07657,48.14758
Чернівецька,Герцаївський,Великосілля,26.31191,48.16166
Чернівецька,Герцаївський,Круп'янське,26.06918,48.16114
Чернівецька,Герцаївський,Лунка,26.29406,48.18346
Чернівецька,Герцаївський,Маморниця,26.09682,48.22019
Чернівецька,Герцаївський,Радгоспівка,26.11141,48.22294
Чернівецька,Герцаївський,Могилівка,26.27432,48.14964
Чернівецька,Герцаївський,Підвальне,26.15055,48.13368
Чернівецька,Сторожинецький,Заволока,25.90113,48.26139
Чернівецька,Сторожинецький,Старі Бросківці,25.742,48.24011
Чернівецька,Сторожинецький,Заболоття,25.66715,48.21625
Чернівецька,Глибоцький,Луковиця,26.06506,48.20045
Чернівецька,Герцаївський,Годинівка,26.13098,48.18895
Чернівецька,Сторожинецький,Нижні Петрівці,25.71522,48.03154
Чернівецька,Глибоцький,Кам'янка,25.9037,48.02605
Чернівецька,Сторожинецький,Давидівка,25.54527,48.13608
Чернівецька,Сторожинецький,Дубове,25.83143,48.27101
Чернівецька,Сторожинецький,Великий Кучурів,25.90765,48.21436
Чернівецька,Сторожинецький,Тисовець,25.89701,48.17093
Чернівецька,Сторожинецький,Глибочок,25.76843,48.18586
Чернівецька,Сторожинецький,Їжівці,25.65291,48.02433
Одеська,Ренійський,Рені,28.28619,45.46074
Одеська,м Ізмаїл,Ізмаїл,28.83551,45.3471
Одеська,Болградський,Болград,28.60256,45.69437
Одеська,Ренійський,Орлівка,28.45064,45.31946
Одеська,Ренійський,Новосільське,28.57973,45.33646
Одеська,Болградський,Табаки,28.60994,45.73025
Одеська,Болградський,Виноградівка,28.56669,45.68218
Одеська,Болградський,Жовтневе,28.70487,45.63343
Одеська,Болградський,Владичень,28.60376,45.56545
Одеська,Ренійський,Котловина,28.57184,45.50949
Одеська,Болградський,Криничне,28.66779,45.53593
Одеська,Ізмаїльський,Каланчак,28.79379,45.5361
Одеська,Болградський,Василівка,28.83173,45.63995
Одеська,Ізмаїльський,Кам'янка,28.88117,45.56511
Одеська,Ізмаїльський,Саф'яни,28.87705,45.39997
Одеська,Ізмаїльський,Озерне,28.67809,45.40512
Одеська,Ізмаїльський,Нова Некрасівка,28.69492,45.35568
Одеська,Ізмаїльський,Ларжанка,28.72976,45.36014
Одеська,Ізмаїльський,Матроська,28.77594,45.34504
Одеська,Ізмаїльський,Броска,28.78487,45.36993
Одеська,Ренійський,Плавні,28.58008,45.3986
Одеська,Ренійський,Долинське,28.32825,45.47207
Одеська,Болградський,Коса,28.65252,45.47584
