city,district,region,longitude,latitude,country
Фертешолмаш,Виноградівський район,Закарпатська область,22.92692,47.9809,Україна
Тисобикень,Виноградівський район,Закарпатська область,22.89602,48.07239,Україна
Гудя,Виноградівський район,Закарпатська область,23.12536,48.11514,Україна
Новоселиця,Виноградівський район,Закарпатська область,23.22579,48.12939,Україна
Кривий,Хустський район,Закарпатська область,23.23351,48.17264,Україна
Нижні Ремети,Берегівський район,Закарпатська область,22.8265,48.25745,Україна
Верхні Ремети,Берегівський район,Закарпатська область,22.86135,48.26706,Україна
Заріччя,Іршавський район,Закарпатська область,22.99095,48.27959,Україна
Онок,Виноградівський район,Закарпатська область,23.004,48.22346,Україна
Перехрестя,Виноградівський район,Закарпатська область,22.8368,48.13728,Україна
Оросієво,Берегівський район,Закарпатська область,22.81929,48.16286,Україна
Чорний Потік,Виноградівський район,Закарпатська область,22.90667,48.18088,Україна
Матійово,Виноградівський район,Закарпатська область,22.91199,48.13179,Україна
Карачин,Виноградівський район,Закарпатська область,22.86959,48.13179,Україна
Затисівка,Виноградівський район,Закарпатська область,22.98924,48.06295,Україна
Форголань,Виноградівський район,Закарпатська область,22.95611,48.05214,Україна
Велика Паладь,Виноградівський район,Закарпатська область,22.88229,48.0003,Україна
Гребля,Іршавський район,Закарпатська область,23.04932,48.28302,Україна
Нижнє Болотне,Іршавський район,Закарпатська область,23.09704,48.2662,Україна
Малий Раковець,Іршавський район,Закарпатська область,23.20656,48.26414,Україна
Заболотне,Іршавський район,Закарпатська область,23.11661,48.24217,Україна
Вертеп,Хустський район,Закарпатська область,23.1336,48.22346,Україна
Мала Копаня,Виноградівський район,Закарпатська область,23.09481,48.16938,Україна
Холмовець,Виноградівський район,Закарпатська область,23.0967,48.05797,Україна
Чертіж,Хустський район,Закарпатська область,23.24295,48.19067,Україна
Гетиня,Виноградівський район,Закарпатська область,23.01687,48.0887,Україна
Дротинці,Виноградівський район,Закарпатська область,22.987,48.10484,Україна
Пийтерфолво,Виноградівський район,Закарпатська область,22.9343,48.06175,Україна
Оклі,Виноградівський район,Закарпатська область,23.01601,48.00218,Україна
Оклі Гедь,Виноградівський район,Закарпатська область,23.06202,48.01283,Україна
Нове Клинове,Виноградівський район,Закарпатська область,23.03867,48.01746,Україна
Мала Бийгань,Берегівський район,Закарпатська область,22.57828,48.27169,Україна
Астей,Берегівський район,Закарпатська область,22.5975,48.16904,Україна
Велика Бакта,Берегівський район,Закарпатська область,22.66394,48.1608,Україна
Геча,Берегівський район,Закарпатська область,22.65793,48.13969,Україна
Квасово,Берегівський район,Закарпатська область,22.77037,48.18621,Україна
Кідьош,Берегівський район,Закарпатська область,22.69758,48.21813,Україна
Затишне,Берегівський район,Закарпатська область,22.66909,48.23032,Україна
Попово,Берегівський район,Закарпатська область,22.42207,48.26946,Україна
Мале Попово,Берегівський район,Закарпатська область,22.38756,48.26259,Україна
Гетен,Берегівський район,Закарпатська область,22.38344,48.27616,Україна
Галабор,Берегівський район,Закарпатська область,22.67801,48.10106,Україна
Руська Долина,Виноградівський район,Закарпатська область,22.9283,48.12698,Україна
Олешник,Виноградівський район,Закарпатська область,22.9549,48.16698,Україна
Веряця,Виноградівський район,Закарпатська область,23.16038,48.16578,Україна
Горбки,Виноградівський район,Закарпатська область,23.1815,48.15565,Україна
Притисянське,Виноградівський район,Закарпатська область,22.91697,48.11273,Україна
Вербове,Виноградівський район,Закарпатська область,22.91285,48.11874,Україна
Балажер,Берегівський район,Закарпатська область,22.60866,48.24646,Україна
Мочола,Берегівський район,Закарпатська область,22.62823,48.15754,Україна
Гуняді,Берегівський район,Закарпатська область,22.60798,48.14552,Україна
Яноші,Берегівський район,Закарпатська область,22.63064,48.24474,Україна
Широке,Виноградівський район,Закарпатська область,23.11283,48.22208,Україна
Тячів,Тячівський район,Закарпатська область,23.57838,48.01163,Україна
Солотвино,Тячівський район,Закарпатська область,23.88119,47.9579,Україна
Буштино,Тячівський район,Закарпатська область,23.48534,48.0475,Україна
Тересва,Тячівський район,Закарпатська область,23.69957,47.99789,Україна
Великий Бичків,Рахівський район,Закарпатська область,24.01543,47.96511,Україна
Вишково,Хустський район,Закарпатська область,23.42972,48.05265,Україна
Дубове,Тячівський район,Закарпатська область,23.88445,48.19359,Україна
Рахів,Рахівський район,Закарпатська область,24.20357,48.05574,Україна
Ясіня,Рахівський район,Закарпатська область,24.36115,48.27255,Україна
Кобилецька Поляна,Рахівський район,Закарпатська область,24.0719,48.05746,Україна
Хуст,Хустський район,Закарпатська область,23.29067,48.17814,Україна
Богдан,Рахівський район,Закарпатська область,24.34296,48.03583,Україна
Велятин,Хустський район,Закарпатська область,23.3135,48.1093,Україна
Руське Поле,Тячівський район,Закарпатська область,23.53357,48.05712,Україна
Стеблівка,Хустський район,Закарпатська область,23.42182,48.09059,Україна
Новобарово,Тячівський район,Закарпатська область,23.50697,48.0978,Україна
Сокирниця,Хустський район,Закарпатська область,23.39985,48.12406,Україна
Данилово,Хустський район,Закарпатська область,23.45873,48.14741,Україна
Боронява,Хустський район,Закарпатська область,23.38543,48.15754,Україна
Нижнє Селище,Хустський район,Закарпатська область,23.44757,48.1996,Україна
Копашново,Хустський район,Закарпатська область,23.48242,48.21556,Україна
Дулово,Тячівський район,Закарпатська область,23.58713,48.1426,Україна
Угля,Тячівський район,Закарпатська область,23.62988,48.15205,Україна
Кричово,Тячівський район,Закарпатська область,23.56842,48.1917,Україна
Чумальово,Тячівський район,Закарпатська область,23.5437,48.18947,Україна
Золотарьово,Хустський район,Закарпатська область,23.50164,48.18071,Україна
Жовтневе,Хустський район,Закарпатська область,23.54439,48.22328,Україна
Кошельово,Хустський район,Закарпатська область,23.33204,48.23788,Україна
Широкий Луг,Тячівський район,Закарпатська область,23.75433,48.21539,Україна
Красна,Тячівський район,Закарпатська область,23.9459,48.23358,Україна
Солоне,Тячівський район,Закарпатська область,23.85853,48.12527,Україна
Терново,Тячівський район,Закарпатська область,23.73785,48.07411,Україна
Грушово,Тячівський район,Закарпатська область,23.76257,48.00699,Україна
Нижня Апша,Тячівський район,Закарпатська область,23.83827,47.99738,Україна
Глибокий Потік,Тячівський район,Закарпатська область,23.89389,48.05729,Україна
Кічерели,Хустський район,Закарпатська область,23.62284,48.24886,Україна
Тарасівка,Тячівський район,Закарпатська область,23.81441,48.20749,Україна
Теребля,Тячівський район,Закарпатська область,23.59297,48.11136,Україна
Костилівка,Рахівський район,Закарпатська область,24.20374,47.99274,Україна
Видричка,Рахівський район,Закарпатська область,24.33678,48.05385,Україна
Вільховатий,Рахівський район,Закарпатська область,24.17044,48.01197,Україна
Луг,Рахівський район,Закарпатська область,24.05439,47.96099,Україна
Хмелів,Рахівський район,Закарпатська область,24.15619,47.91807,Україна
Ділове,Рахівський район,Закарпатська область,24.1749,47.93575,Україна
Середнє Водяне,Рахівський район,Закарпатська область,23.8999,47.97953,Україна
Іза,Хустський район,Закарпатська область,23.32878,48.21384,Україна
Драгово,Хустський район,Закарпатська область,23.54645,48.2365,Україна
Липча,Хустський район,Закарпатська область,23.38183,48.26328,Україна
Горінчово,Хустський район,Закарпатська область,23.43401,48.2698,Україна
Підплеша,Тячівський район,Закарпатська область,23.80034,48.13145,Україна
Ганичі,Тячівський район,Закарпатська область,23.83913,48.12544,Україна
Вільхівці,Тячівський район,Закарпатська область,23.73957,48.09917,Україна
Добрянське,Тячівський район,Закарпатська область,23.7097,48.06742,Україна
Крива,Тячівський район,Закарпатська область,23.71399,48.02828,Україна
Бедевля,Тячівський район,Закарпатська область,23.66421,48.0039,Україна
Біла Церква,Рахівський район,Закарпатська область,23.92651,47.95086,Україна
Осава,Хустський район,Закарпатська область,23.35951,48.28268,Україна
Лунка,Хустський район,Закарпатська область,23.48826,48.22328,Україна
Хустець,Хустський район,Закарпатська область,23.48293,48.24388,Україна
Посіч,Хустський район,Закарпатська область,23.41393,48.25298,Україна
Ділок,Хустський район,Закарпатська область,23.45547,48.25933,Україна
Поляна,Хустський район,Закарпатська область,23.51555,48.26002,Україна
Становець,Хустський район,Закарпатська область,23.55434,48.26156,Україна
Залом,Хустський район,Закарпатська область,23.31694,48.25642,Україна
Липовець,Хустський район,Закарпатська область,23.30475,48.27564,Україна
Крайниково,Хустський район,Закарпатська область,23.44053,48.1196,Україна
Олександрівка,Хустський район,Закарпатська область,23.51006,48.13745,Україна
Кіреші,Хустський район,Закарпатська область,23.35247,48.18878,Україна
Карповтлаш,Хустський район,Закарпатська область,23.38783,48.20354,Україна
Нанково,Хустський район,Закарпатська область,23.41856,48.19805,Україна
Колодне,Тячівський район,Закарпатська область,23.59829,48.16509,Україна
Фонтиняси,Тячівський район,Закарпатська область,23.75639,48.24148,Україна
Вільхівці-лази,Тячівський район,Закарпатська область,23.69768,48.12578,Україна
Ракове,Тячівський район,Закарпатська область,23.69064,48.11823,Україна
Вільхівчик,Тячівський район,Закарпатська область,23.74231,48.1275,Україна
Бобове,Тячівський район,Закарпатська область,23.66678,48.12441,Україна
Груники,Тячівський район,Закарпатська область,23.66575,48.14535,Україна
Пригідь,Тячівський район,Закарпатська область,23.74163,48.26105,Україна
Тячівка,Тячівський район,Закарпатська область,23.59778,48.03909,Україна
Вишоватий,Тячівський район,Закарпатська область,23.75742,48.09093,Україна
Подішор,Тячівський район,Закарпатська область,23.86591,48.04235,Україна
Топчино,Тячівський район,Закарпатська область,23.85269,48.03892,Україна
Пещера,Тячівський район,Закарпатська область,23.86677,48.05815,Україна
Петрушів,Тячівський район,Закарпатська область,23.80652,48.07669,Україна
Лази,Тячівський район,Закарпатська область,23.64481,48.05815,Україна
Руня,Тячівський район,Закарпатська область,23.63966,48.04012,Україна
Округла,Тячівський район,Закарпатська область,23.66472,48.08407,Україна
Дібрівка,Тячівський район,Закарпатська область,23.66283,48.03463,Україна
Глиняний,Тячівський район,Закарпатська область,23.6776,48.02639,Україна
Сасово,Тячівський район,Закарпатська область,23.70043,48.10037,Україна
Біловарці,Тячівський район,Закарпатська область,23.69425,48.03051,Україна
Плаюць,Рахівський район,Закарпатська область,23.9411,48.01815,Україна
Добрік,Рахівський район,Закарпатська область,23.90333,48.01214,Україна
Стримба,Рахівський район,Закарпатська область,23.91586,48.04407,Україна
Модьорош,Хустський район,Закарпатська область,23.34887,48.07291,Україна
Шаян,Хустський район,Закарпатська область,23.34921,48.05918,Україна
Ракош,Хустський район,Закарпатська область,23.39333,48.04321,Україна
Вонігове,Тячівський район,Закарпатська область,23.52739,48.07497,Україна
Зарічне,Хустський район,Закарпатська область,23.28724,48.20234,Україна
Вишній Дубовець,Тячівський район,Закарпатська область,23.90642,48.17831,Україна
Нижній Дубовець,Тячівський район,Закарпатська область,23.90247,48.15977,Україна
Сітний,Рахівський район,Закарпатська область,24.29403,48.12235,Україна
Бребоя,Рахівський район,Закарпатська область,24.38776,48.0487,Україна
Росішка,Рахівський район,Закарпатська область,24.06967,47.98502,Україна
Круглий,Рахівський район,Закарпатська область,24.18846,47.96047,Україна
Білин,Рахівський район,Закарпатська область,24.25404,48.11102,Україна
Новоселиця,Тячівський район,Закарпатська область,23.75776,48.16698,Україна
Тисалово,Тячівський район,Закарпатська область,23.77733,48.13831,Україна
Нересниця,Тячівський район,Закарпатська область,23.76909,48.12269,Україна
Велика Уголька,Тячівський район,Закарпатська область,23.65683,48.19805,Україна
Мала Уголька,Тячівський район,Закарпатська область,23.63829,48.17676,Україна
Яблунівка,Хустський район,Закарпатська область,23.52173,48.01454,Україна
Калини,Тячівський район,Закарпатська область,23.86694,48.13934,Україна
Косівська Поляна,Рахівський район,Закарпатська область,24.10675,48.00304,Україна
Тростянець,Рахівський район,Закарпатська область,24.26725,48.15874,Україна
Росош,Тячівський район,Закарпатська область,23.59005,48.23976,Україна
Кутлаш,Хустський район,Закарпатська область,23.47813,48.2777,Україна
Сюрюк,Хустський район,Закарпатська область,23.47384,48.27135,Україна
Верхнє Водяне,Рахівський район,Закарпатська область,23.96805,47.99566,Україна
Кваси,Рахівський район,Закарпатська область,24.28202,48.14569,Україна
Розтоки,Рахівський район,Закарпатська область,24.30725,48.06999,Україна
Сарата,Путильський район,Чернівецька область,24.99338,47.74916,Україна
Ворохта,м. Яремча,Івано-Франківська область,24.57436,48.28268,Україна
Верховина,Верховинський район,Івано-Франківська область,24.81812,48.15531,Україна
Кути,Косівський район,Івано-Франківська область,25.18118,48.26362,Україна
Вижниця,Вижницький район,Чернівецька область,25.17946,48.24217,Україна
Путила,Путильський район,Чернівецька область,25.08642,47.99017,Україна
Берегомет,Вижницький район,Чернівецька область,25.31971,48.16887,Україна
Бабин,Косівський район,Івано-Франківська область,25.04282,48.27633,Україна
Малий Рожин,Косівський район,Івано-Франківська область,25.07973,48.26088,Україна
Річка,Косівський район,Івано-Франківська область,24.93313,48.2801,Україна
Барвінків,Верховинський район,Івано-Франківська область,25.01329,48.1172,Україна
Біла Річка,Верховинський район,Івано-Франківська область,24.89519,47.96511,Україна
Берестечко,Верховинський район,Івано-Франківська область,24.6801,48.10587,Україна
Буковець,Верховинський район,Івано-Франківська область,24.93914,48.19977,Україна
Рівня,Верховинський район,Івано-Франківська область,24.95527,48.13728,Україна
Кохан,Верховинський район,Івано-Франківська область,24.9436,48.09196,Україна
Криворівня,Верховинський район,Івано-Франківська область,24.89657,48.17522,Україна
Перехресне,Верховинський район,Івано-Франківська область,24.92403,48.09917,Україна
Полянки,Верховинський район,Івано-Франківська область,24.95493,48.06587,Україна
Сеньківське,Верховинський район,Івано-Франківська область,24.85743,48.03823,Україна
Стаїще,Верховинський район,Івано-Франківська область,24.73332,48.18621,Україна
Стовпні,Верховинський район,Івано-Франківська область,24.82189,47.98777,Україна
Топільче,Верховинський район,Івано-Франківська область,24.73761,48.08647,Україна
Хороцеве,Верховинський район,Івано-Франківська область,25.01741,48.13265,Україна
Черетів,Верховинський район,Івано-Франківська область,24.97433,48.21127,Україна
Явірник,Верховинський район,Івано-Франківська область,24.74224,48.02347,Україна
Снідавка,Косівський район,Івано-Франківська область,24.86343,48.24062,Україна
Голови,Верховинський район,Івано-Франківська область,24.87906,48.06209,Україна
Голошина,Путильський район,Чернівецька область,24.88609,47.88751,Україна
Грамотне,Верховинський район,Івано-Франківська область,24.84524,47.95584,Україна
Замагора,Верховинський район,Івано-Франківська область,24.82138,48.10175,Україна
Красноїлля,Верховинський район,Івано-Франківська область,24.9048,48.1081,Україна
Пробійнівка,Верховинський район,Івано-Франківська область,24.8255,47.97352,Україна
Яблуниця,Верховинський район,Івано-Франківська область,24.91287,48.01351,Україна
Зелене,Верховинський район,Івано-Франківська область,24.75597,48.05094,Україна
Розтоки,Путильський район,Чернівецька область,25.13105,48.18346,Україна
Тюдів,Косівський район,Івано-Франківська область,25.13037,48.23942,Україна
Старі Кути,Косівський район,Івано-Франківська область,25.16075,48.27907,Україна
Бистрець,Верховинський район,Івано-Франківська область,24.69229,48.12303,Україна
Устеріки,Верховинський район,Івано-Франківська область,24.99012,48.12733,Україна
Чорна Річка,Верховинський район,Івано-Франківська область,24.86876,48.08596,Україна
Білоберізка,Верховинський район,Івано-Франківська область,25.04694,48.16561,Україна
Ільці,Верховинський район,Івано-Франківська область,24.75992,48.15307,Україна
Яворів,Косівський район,Івано-Франківська область,25.02085,48.22071,Україна
Шепіт,Косівський район,Івано-Франківська область,24.85657,48.26517,Україна
Буркут,Верховинський район,Івано-Франківська область,24.69503,47.94296,Україна
Верхній Ясенів,Верховинський район,Івано-Франківська область,24.94532,48.16131,Україна
Волова,Верховинський район,Івано-Франківська область,24.69933,48.24097,Україна
Гринява,Верховинський район,Івано-Франківська область,24.8703,47.98159,Україна
Кривопілля,Верховинський район,Івано-Франківська область,24.69606,48.19462,Україна
Бережниця,Верховинський район,Івано-Франківська область,24.83511,48.20354,Україна
Черемошна,Верховинський район,Івано-Франківська область,24.93004,48.0427,Україна
Красник,Верховинський район,Івано-Франківська область,24.73623,48.14449,Україна
Великий Рожин,Косівський район,Івано-Франківська область,25.03664,48.2135,Україна
Вигода,Верховинський район,Івано-Франківська область,24.96952,48.13145,Україна
Липовани,Вижницький район,Чернівецька область,25.45258,48.22809,Україна
Лопушина,Вижницький район,Чернівецька область,25.28624,48.08716,Україна
Луківці,Вижницький район,Чернівецька область,25.42477,48.19719,Україна
Чорногузи,Вижницький район,Чернівецька область,25.2277,48.27049,Україна
Фальків,Вижницький район,Чернівецька область,25.42305,47.95858,Україна
Дихтинець,Путильський район,Чернівецька область,25.04522,48.06072,Україна
Нижній Яловець,Путильський район,Чернівецька область,24.99767,47.85524,Україна
Плоска,Путильський район,Чернівецька область,25.14204,47.91241,Україна
Тораки,Путильський район,Чернівецька область,25.07114,48.02021,Україна
Шепіт,Путильський район,Чернівецька область,25.14187,47.80477,Україна
Яблуниця,Верховинський район,Івано-Франківська область,24.92008,48.02776,Україна
Черешенька,Вижницький район,Чернівецька область,25.28143,48.21882,Україна
Багна,Вижницький район,Чернівецька область,25.23096,48.22431,Україна
Банилів-підгірний,Сторожинецький район,Чернівецька область,25.49292,48.09385,Україна
Вахнівці,Вижницький район,Чернівецька область,25.47987,48.25727,Україна
Велике,Вижницький район,Чернівецька область,25.41395,48.15822,Україна
Виженка,Вижницький район,Чернівецька область,25.18513,48.2123,Україна
Долішній Шепіт,Вижницький район,Чернівецька область,25.28795,48.01248,Україна
Заріччя,Вижницький район,Чернівецька область,25.32486,48.1584,Україна
Лекечі,Вижницький район,Чернівецька область,25.28795,48.11891,Україна
Мигове,Вижницький район,Чернівецька область,25.38082,48.14964,Україна
Середній Майдан,Вижницький район,Чернівецька область,25.37396,48.26105,Україна
Косованка,Сторожинецький район,Чернівецька область,25.49669,48.2365,Україна
Стара Жадова,Сторожинецький район,Чернівецька область,25.49463,48.19805,Україна
Андреківське,Путильський район,Чернівецька область,25.11629,47.80254,Україна
Великий Липовець,Путильський район,Чернівецька область,24.99149,48.05351,Україна
Верхній Яловець,Путильський район,Чернівецька область,25.07303,47.82417,Україна
Випчина,Путильський район,Чернівецька область,25.03458,47.90176,Україна
Галицівка,Путильський район,Чернівецька область,25.25311,47.90708,Україна
Замогила,Путильський район,Чернівецька область,25.08694,48.04544,Україна
Киселиці,Путильський район,Чернівецька область,25.05449,48.03463,Україна
Лустун,Путильський район,Чернівецька область,25.18736,47.91893,Україна
Мариничі,Путильський район,Чернівецька область,25.04076,48.12269,Україна
Міжброди,Путильський район,Чернівецька область,25.11852,48.22689,Україна
Околена,Путильський район,Чернівецька область,25.09449,48.15925,Україна
Петраші,Путильський район,Чернівецька область,25.09895,48.13402,Україна
Плай,Путильський район,Чернівецька область,24.92455,47.98519,Україна
Плита,Путильський район,Чернівецька область,24.97879,48.03291,Україна
Площі,Путильський район,Чернівецька область,25.06497,48.05025,Україна
Підзахаричі,Путильський район,Чернівецька область,25.12608,48.20835,Україна
Поляківське,Путильський район,Чернівецька область,25.08745,48.01969,Україна
Розтоки,Путильський район,Чернівецька область,25.14118,48.16749,Україна
Рижа,Путильський район,Чернівецька область,25.05982,47.96579,Україна
Рипень,Путильський район,Чернівецька область,25.08041,47.94279,Україна
Самакова,Путильський район,Чернівецька область,24.97776,48.00648,Україна
Селятин,Путильський район,Чернівецька область,25.1865,47.87344,Україна
Сергії,Путильський район,Чернівецька область,25.14856,47.98553,Україна
Соколій,Путильський район,Чернівецька область,25.06016,48.02639,Україна
Тесницька,Путильський район,Чернівецька область,25.16796,47.98021,Україна
Фошки,Путильський район,Чернівецька область,25.19011,47.96682,Україна
Хорови,Путильський район,Чернівецька область,25.14479,48.18054,Україна
Шпетки,Путильський район,Чернівецька область,25.01501,48.10449,Україна
Ями,Путильський район,Чернівецька область,25.12814,48.16097,Україна
Голошина,Путильський район,Чернівецька область,24.94515,47.93112,Україна
Паркулина,Путильський район,Чернівецька область,25.12608,47.98794,Україна
Стебні,Верховинський район,Івано-Франківська область,25.02239,48.0796,Україна
Вовчинець,Вижницький район,Чернівецька область,25.44468,48.16681,Україна
Товарниця,Путильський район,Чернівецька область,25.175,48.13024,Україна
Малий Дихтинець,Путильський район,Чернівецька область,25.02359,48.04802,Україна
Руська,Путильський район,Чернівецька область,25.26152,47.91155,Україна
Гробище,Путильський район,Чернівецька область,25.0569,47.99532,Україна
Конятин,Путильський район,Чернівецька область,24.93862,48.0427,Україна
Довгопілля,Путильський район,Чернівецька область,24.97364,48.07016,Україна
Майдан,Вижницький район,Чернівецька область,25.43644,48.26259,Україна
Майдан,Вижницький район,Чернівецька область,25.31885,48.26002,Україна
Греблина,Путильський район,Чернівецька область,25.02497,48.06089,Україна
Греблина,Путильський район,Чернівецька область,24.99544,48.08304,Україна
Бісків,Путильський район,Чернівецька область,25.17019,48.09214,Україна
Бісків,Путильський район,Чернівецька область,25.08127,48.08681,Україна
Усть-путила,Путильський район,Чернівецька область,25.1635,48.05797,Україна
Говерла,Рахівський район,Закарпатська область,24.45059,48.07789,Україна
Луги,Рахівський район,Закарпатська область,24.4384,48.06415,Україна
Лазещина,Рахівський район,Закарпатська область,24.41488,48.27392,Україна
Новоселиця,Новоселицький район,Чернівецька область,26.27415,48.21865,Україна
Герца,Герцаївський район,Чернівецька область,26.26196,48.1493,Україна
Сторожинець,Сторожинецький район,Чернівецька область,25.72243,48.16114,Україна
Глибока,Глибоцький район,Чернівецька область,25.92894,48.08578,Україна
Красноїльськ,Сторожинецький район,Чернівецька область,25.60175,48.01866,Україна
Бояни,Новоселицький район,Чернівецька область,26.12463,48.27066,Україна
Котелеве,Новоселицький район,Чернівецька область,26.35637,48.28354,Україна
Кошуляни,Новоселицький район,Чернівецька область,26.56254,48.24921,Україна
Новоіванківці,Новоселицький район,Чернівецька область,26.48272,48.22431,Україна
Ревківці,Новоселицький район,Чернівецька область,26.20857,48.28113,Україна
Слобода,Новоселицький район,Чернівецька область,26.20085,48.27616,Україна
Строїнці,Новоселицький район,Чернівецька область,26.25355,48.24371,Україна
Бобівці,Сторожинецький район,Чернівецька область,25.68775,48.2638,Україна
Буденець,Сторожинецький район,Чернівецька область,25.65222,48.0851,Україна
Дібрівка,Сторожинецький район,Чернівецька область,25.54991,48.24886,Україна
Кам'яна,Сторожинецький район,Чернівецька область,25.85564,48.22328,Україна
